space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_7_13_1.8685_12.8711,18.19812967583768,-0.341,0.275,5750,9,0.0016
2022_7_13_1.8685_12.8711,16.860075180381873,-0.341,0.275,5327,9,0.0016
2022_7_13_1.8685_12.8711,14.09850449545142,-0.341,0.275,4455,7,0.0016
2022_7_13_1.8685_12.8711,14.07990310300834,-0.341,0.275,4449,7,0.0016
2022_7_13_1.8685_12.8711,12.500373931649127,-0.341,0.275,3950,6,0.0016
2022_7_13_1.8685_12.8711,9.415261574096956,-0.694,0.275,1977,3,0.0016
2022_7_13_1.8685_12.8711,9.15687738315581,-0.694,0.275,1922,3,0.0016
2022_7_13_1.8685_12.8711,9.267766900351278,-0.694,0.275,1946,3,0.0016
2022_7_13_1.8685_12.8711,2.675226775416331,-0.694,0.275,561,1,0.0016
2022_7_13_1.8685_12.8711,1.876876761973231,-0.308,0.289,593,1,0.0016
2022_7_13_1.8685_12.8711,14.29903807363276,-0.308,0.289,4518,7,0.0016
2022_7_13_1.8685_12.8711,11.154666363796547,-0.308,0.289,3524,6,0.0016
2022_7_13_1.8685_12.8711,10.609962174275475,-0.453,0.273,3352,5,0.0016
2022_7_13_1.8685_12.8711,10.627818885714468,-0.744,0.274,2231,4,0.0016
2022_7_13_1.8685_12.8711,10.831786046345565,-0.744,0.274,2274,4,0.0016
2022_7_13_1.8685_12.8711,10.712842588248746,-0.744,0.274,2249,4,0.0016
2022_7_13_1.8685_12.8711,10.399359875474309,-0.744,0.274,2183,3,0.0016
2022_7_13_1.8685_12.8711,10.340194946865338,-0.72,0.274,2171,3,0.0016
2022_7_13_1.8685_12.8711,10.53620970543788,-0.72,0.274,2212,4,0.0016
2022_7_13_1.8685_12.8711,12.42574352970328,-0.72,0.274,2609,4,0.0016
