space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,46.80502330367362,-0.175,0.272,25508,41,0.0016
2022_1_19_-4.9589_12.1623,45.19809365027119,-0.175,0.272,24632,39,0.0016
2022_1_19_-4.9589_12.1623,46.969142456578645,-0.226,0.263,18740,30,0.0016
2022_1_19_-4.9589_12.1623,68.15932329280776,-0.226,0.263,27195,44,0.0016
2022_1_19_-4.9589_12.1623,123.4011873707056,-0.445,0.261,49237,79,0.0016
2022_1_19_-4.9589_12.1623,173.52153577679238,-0.445,0.261,69235,111,0.0016
2022_1_19_-4.9589_12.1623,200.96181215281743,-0.445,0.261,80183,128,0.0016
2022_1_19_-4.9589_12.1623,85.26290842255773,-0.431,0.259,34019,54,0.0016
2022_1_19_-4.9589_12.1623,21.438252145602917,-0.927,0.26,5724,9,0.0016
2022_1_19_-4.9589_12.1623,30.33914781971129,-0.927,0.26,8100,13,0.0016
2022_1_19_-4.9589_12.1623,28.1764826424604,-0.865,0.286,7523,12,0.0016
2022_1_19_-4.9589_12.1623,31.116231939978437,-0.865,0.286,8308,13,0.0016
2022_1_19_-4.9589_12.1623,30.106132734023934,-0.865,0.286,8038,13,0.0016
2022_1_19_-4.9589_12.1623,26.316432148091536,-0.865,0.286,7026,11,0.0016
2022_1_19_-4.9589_12.1623,32.35365736708138,-0.459,0.263,12909,21,0.0016
2022_1_19_-4.9589_12.1623,38.42419636190096,-0.459,0.263,15331,25,0.0016
2022_1_19_-4.9589_12.1623,54.498167083435526,-0.459,0.263,21744,35,0.0016
2022_1_19_-4.9589_12.1623,148.86235209019372,-0.459,0.263,59396,95,0.0016
2022_1_19_-4.9589_12.1623,259.46477294255914,-0.556,0.263,103526,166,0.0016
2022_1_19_-4.9589_12.1623,253.92842638814457,-0.556,0.263,101317,162,0.0016
2022_1_19_-4.9589_12.1623,100.106351590796,-0.556,0.263,39942,64,0.0016
2022_1_19_-4.9589_12.1623,45.51872425793755,-0.175,0.272,24807,40,0.0016
2022_1_19_-4.9589_12.1623,37.99885466914888,-0.175,0.272,20709,33,0.0016
2022_1_19_-4.9589_12.1623,36.571480271410174,-0.175,0.272,19931,32,0.0016
2022_1_19_-4.9589_12.1623,39.51748261838425,-0.226,0.263,15767,25,0.0016
2022_1_19_-4.9589_12.1623,45.16331798672187,-0.226,0.263,18020,29,0.0016
2022_1_19_-4.9589_12.1623,50.99885045745288,-0.445,0.261,20348,33,0.0016
2022_1_19_-4.9589_12.1623,59.45715769344857,-0.445,0.261,23723,38,0.0016
2022_1_19_-4.9589_12.1623,69.85544161988912,-0.445,0.261,27872,45,0.0016
2022_1_19_-4.9589_12.1623,58.36269512326651,-0.431,0.259,23286,37,0.0016
2022_1_19_-4.9589_12.1623,24.425431341365837,-0.927,0.26,6521,10,0.0016
2022_1_19_-4.9589_12.1623,30.031044392997806,-0.927,0.26,8018,13,0.0016
2022_1_19_-4.9589_12.1623,28.27730035780397,-0.865,0.286,7550,12,0.0016
2022_1_19_-4.9589_12.1623,26.9103433258827,-0.865,0.286,7185,11,0.0016
2022_1_19_-4.9589_12.1623,26.516433711419,-0.865,0.286,7079,11,0.0016
2022_1_19_-4.9589_12.1623,26.73563954256761,-0.865,0.286,7138,11,0.0016
2022_1_19_-4.9589_12.1623,33.92918132563846,-0.425,0.274,13537,22,0.0016
2022_1_19_-4.9589_12.1623,40.95844634459547,-0.425,0.274,16342,26,0.0016
2022_1_19_-4.9589_12.1623,150.64485866787655,-0.425,0.274,60107,96,0.0016
2022_1_19_-4.9589_12.1623,287.6908425425736,-0.425,0.274,114788,184,0.0016
2022_1_19_-4.9589_12.1623,306.81885163493973,-0.438,0.282,122420,196,0.0016
2022_1_19_-4.9589_12.1623,272.33676292410024,-0.438,0.282,108662,174,0.0016
2022_1_19_-4.9589_12.1623,81.12150421669159,-0.438,0.282,32367,52,0.0016
2022_1_19_-4.9589_12.1623,43.82457366873041,-0.446,0.267,17486,28,0.0016
2022_1_19_-4.9589_12.1623,35.339448266316914,-0.446,0.267,14100,23,0.0016
2022_1_19_-4.9589_12.1623,32.18332219900659,-0.446,0.267,12841,21,0.0016
2022_1_19_-4.9589_12.1623,33.76018301917737,-0.841,0.265,9013,14,0.0016
2022_1_19_-4.9589_12.1623,36.88485340568033,-0.841,0.265,9848,16,0.0016
2022_1_19_-4.9589_12.1623,41.267979377884366,-0.638,0.262,11018,18,0.0016
2022_1_19_-4.9589_12.1623,46.86316489795851,-0.638,0.262,12512,20,0.0016
2022_1_19_-4.9589_12.1623,54.60498319368877,-0.638,0.262,14579,23,0.0016
2022_1_19_-4.9589_12.1623,49.833282405619336,-0.768,0.275,13305,21,0.0016
2022_1_19_-4.9589_12.1623,24.233947048905367,-0.476,0.26,9669,15,0.0016
2022_1_19_-4.9589_12.1623,32.007138622259475,-0.476,0.26,12770,20,0.0016
2022_1_19_-4.9589_12.1623,28.037292149142,-0.763,0.271,7485,12,0.0016
2022_1_19_-4.9589_12.1623,25.675743683589523,-0.763,0.271,6855,11,0.0016
2022_1_19_-4.9589_12.1623,25.849946682896647,-0.763,0.271,6901,11,0.0016
2022_1_19_-4.9589_12.1623,27.425854783093023,-0.626,0.273,7322,12,0.0016
2022_1_19_-4.9589_12.1623,35.87360133318692,-0.626,0.273,9578,15,0.0016
2022_1_19_-4.9589_12.1623,47.78452762017746,-0.425,0.274,19066,31,0.0016
2022_1_19_-4.9589_12.1623,90.11239264076774,-0.425,0.274,35954,58,0.0016
2022_1_19_-4.9589_12.1623,253.10644567092305,-0.425,0.274,100989,162,0.0016
2022_1_19_-4.9589_12.1623,277.6617262340222,-0.438,0.282,110787,177,0.0016
2022_1_19_-4.9589_12.1623,162.77991126529542,-0.438,0.282,64949,104,0.0016
2022_1_19_-4.9589_12.1623,52.717075144050845,-0.438,0.282,21034,34,0.0016
2022_1_19_-4.9589_12.1623,41.5754675029899,-0.446,0.267,16588,27,0.0016
2022_1_19_-4.9589_12.1623,33.793907689087774,-0.446,0.267,13483,22,0.0016
2022_1_19_-4.9589_12.1623,31.06789679010052,-0.446,0.267,12396,20,0.0016
2022_1_19_-4.9589_12.1623,30.78315909730611,-0.841,0.265,8219,13,0.0016
2022_1_19_-4.9589_12.1623,31.25831740981284,-0.841,0.265,8345,13,0.0016
2022_1_19_-4.9589_12.1623,32.53252639250256,-0.638,0.262,8686,14,0.0016
2022_1_19_-4.9589_12.1623,34.55653041719472,-0.638,0.262,9226,15,0.0016
2022_1_19_-4.9589_12.1623,39.53834364332428,-0.638,0.262,10556,17,0.0016
2022_1_19_-4.9589_12.1623,33.821572077528934,-0.768,0.275,9030,14,0.0016
2022_1_19_-4.9589_12.1623,22.127467997373078,-0.476,0.26,8828,14,0.0016
2022_1_19_-4.9589_12.1623,36.68436458399255,-0.476,0.26,14637,23,0.0016
2022_1_19_-4.9589_12.1623,28.066336749041792,-0.763,0.271,7493,12,0.0016
