radio,mcc,net,area,cell,unit,lon,lat,GID_0
UMTS,613,2,3001,9910508,0,-1.582031,12.337532,BFA
UMTS,613,2,3001,9906319,0,-1.517624,12.364563,BFA
GSM,613,3,200,10603,0,-1.482468,12.374863,BFA
UMTS,613,2,3001,9908579,0,-1.509227,12.358798,BFA
UMTS,613,2,3001,9909528,0,-1.532009,12.355182,BFA
UMTS,613,2,3001,9906047,0,-1.526053,12.34448,BFA
UMTS,613,2,3001,9906198,0,-1.543829,12.351255,BFA
UMTS,613,2,3001,9906197,0,-1.548157,12.35733,BFA
UMTS,613,2,3001,9910377,0,-1.541061,12.378159,BFA
UMTS,613,2,3001,9906577,0,-1.552048,12.381363,BFA
UMTS,613,2,3001,9906479,0,-1.577286,12.395482,BFA
UMTS,613,2,3001,9910308,0,-1.576881,12.397556,BFA
UMTS,613,2,3001,9906309,0,-1.52008,12.369486,BFA
UMTS,613,2,3001,9912328,0,-1.521669,12.37304,BFA
UMTS,613,2,3001,9911867,0,-1.562119,12.336617,BFA
GSM,613,2,503,213,0,0.348153,12.070072,BFA
UMTS,613,2,3001,9909527,0,-1.537704,12.363358,BFA
UMTS,613,2,3001,9911058,0,-2.398453,12.244675,BFA
UMTS,613,2,3001,9911128,0,-1.528816,12.324944,BFA
UMTS,613,2,3001,9906048,0,-1.524582,12.333603,BFA
UMTS,613,2,3001,9911868,0,-1.541519,12.337418,BFA
UMTS,613,2,3001,9910519,0,-1.519195,12.354196,BFA
UMTS,613,2,3001,9910518,0,-1.513189,12.356661,BFA
UMTS,613,2,3001,9910517,0,-1.515131,12.361019,BFA
UMTS,613,1,100,75558,0,-1.568004,12.304197,BFA
GSM,613,3,10,32402,0,-0.371323,11.786194,BFA
UMTS,613,2,3002,9973545,0,-4.27461,11.174072,BFA
UMTS,613,2,3002,9973543,0,-4.267845,11.179276,BFA
UMTS,613,2,3001,2747333,0,-1.5772247314453,12.396011352539,BFA
UMTS,613,2,3001,2745530,0,-1.532626,12.35527,BFA
UMTS,613,2,3001,2691071,0,-1.544094,12.355242,BFA
UMTS,613,2,3001,2695331,0,-1.567726,12.339611,BFA
UMTS,613,2,3001,2746223,0,-1.547318,12.350235,BFA
UMTS,613,2,3001,2973630,0,-1.5456390380859,12.352066040039,BFA
UMTS,613,2,3001,2957315,0,-1.550961,12.345543,BFA
UMTS,613,2,3001,2750459,0,-1.557999,12.341668,BFA
UMTS,613,2,3001,2974194,0,-1.585121,12.329063,BFA
UMTS,613,2,3001,2653697,0,-1.568837,12.33206,BFA
UMTS,613,2,3001,2976021,0,-1.530535,12.351382,BFA
UMTS,613,2,3001,2976025,0,-1.493797,12.369919,BFA
UMTS,613,2,3001,2749927,0,-1.4934539794922,12.368545532227,BFA
UMTS,613,2,101,2976112,0,-1.5209197998047,12.368545532227,BFA
UMTS,613,2,3001,2746229,0,-1.547356,12.357216,BFA
UMTS,613,2,3001,2600711,0,-1.5607452392578,12.416610717773,BFA
UMTS,613,2,107,2701170,0,-1.5703582763672,12.335586547852,BFA
UMTS,613,2,3001,2985605,0,-1.555252,12.351242,BFA
UMTS,613,2,102,2991036,0,-1.481094,12.393951,BFA
UMTS,613,2,102,2991039,0,-1.4810943603516,12.393264770508,BFA
UMTS,613,1,100,2996242,0,-1.5140533447266,12.383651733398,BFA
UMTS,613,1,100,2996250,0,-1.5140533447266,12.383651733398,BFA
UMTS,613,1,100,2996256,0,-1.5140533447266,12.383651733398,BFA
UMTS,613,2,3001,2996609,0,-1.52759,12.363052,BFA
UMTS,613,2,3001,2996624,0,-1.528473,12.363052,BFA
UMTS,613,2,3001,2695324,0,-1.5566253662109,12.352066040039,BFA
UMTS,613,1,100,3000867,0,-1.52092,12.370193,BFA
UMTS,613,1,100,3000871,0,-1.52092,12.370605,BFA
UMTS,613,2,3001,3004142,0,-1.564178,12.3349,BFA
UMTS,613,1,100,3004618,0,-1.552505,12.366714,BFA
UMTS,613,1,100,3004634,0,-1.4865875244141,12.33283996582,BFA
UMTS,613,1,100,3004656,0,-1.5525054931641,12.365798950195,BFA
UMTS,613,2,3001,3012157,0,-1.482468,12.421221,BFA
UMTS,613,2,3001,3012168,0,-1.4824676513672,12.42073059082,BFA
UMTS,613,2,107,3017291,0,-1.5538787841797,12.34245300293,BFA
UMTS,613,2,3001,2834514,0,-1.5140533447266,12.36442565918,BFA
UMTS,613,2,3001,2834512,0,-1.5140533447266,12.36442565918,BFA
UMTS,613,2,3001,2695309,0,-1.544952,12.365799,BFA
UMTS,613,2,3001,2747279,0,-1.552144,12.377364,BFA
UMTS,613,2,3001,3029365,0,-1.5648651123047,12.33283996582,BFA
UMTS,613,3,300,3029368,0,-1.5648651123047,12.33283996582,BFA
UMTS,613,3,300,3029370,0,-1.5648651123047,12.33283996582,BFA
UMTS,613,2,3001,2306857,0,-1.537399,12.289169,BFA
UMTS,613,2,3001,2747385,0,-1.5772247314453,12.396011352539,BFA
UMTS,613,1,100,76030,0,-1.485901,12.331467,BFA
GSM,613,1,27,1320,0,1.785661,12.073246,BFA
GSM,613,1,27,19201,0,1.785278,12.076477,BFA
GSM,613,1,27,19200,0,1.78401,12.075592,BFA
GSM,613,1,27,1321,0,1.788635,12.072918,BFA
GSM,613,2,101,673,0,-1.519394,12.366257,BFA
GSM,613,2,101,4581,0,-1.506762,12.366951,BFA
GSM,613,2,101,373,0,-1.520593,12.368546,BFA
UMTS,613,2,3001,9912327,0,-1.523983,12.372665,BFA
UMTS,613,1,100,76027,0,-1.486313,12.332291,BFA
GSM,613,2,503,122,0,-0.005264,11.120453,BFA
GSM,613,2,503,6572,0,-0.0075531005859375,11.121597290039,BFA
UMTS,613,1,100,76240,0,-1.46569,12.380129,BFA
UMTS,613,1,100,75729,0,-1.469421,12.381935,BFA
UMTS,613,1,100,76190,0,-1.46965,12.368317,BFA
UMTS,613,1,100,76231,0,-1.478119,12.37793,BFA
UMTS,613,1,100,76228,0,-1.47874,12.376197,BFA
UMTS,613,1,100,76242,0,-1.477986,12.373027,BFA
UMTS,613,1,100,76037,0,-1.485901,12.360992,BFA
UMTS,613,1,100,76061,0,-1.492081,12.403152,BFA
UMTS,613,1,100,76058,0,-1.494827,12.400284,BFA
UMTS,613,1,100,76227,0,-1.496475,12.394913,BFA
UMTS,613,1,100,76178,0,-1.489677,12.368631,BFA
UMTS,613,1,100,76239,0,-1.474686,12.369919,BFA
UMTS,613,2,3001,9907097,0,-1.552505,12.323914,BFA
GSM,613,1,3,1762,0,-1.466715,12.382925,BFA
UMTS,613,2,3001,9907099,0,-1.599688,12.332252,BFA
GSM,613,2,107,2563,0,-1.609065,12.327761,BFA
UMTS,613,2,3001,9909569,0,-1.602859,12.334213,BFA
GSM,613,2,107,3633,0,-1.6019439697266,12.334213256836,BFA
UMTS,613,2,3001,9910337,0,-1.579284,12.321855,BFA
UMTS,613,2,3001,9911769,0,-1.595765,12.353439,BFA
UMTS,613,2,3001,9906118,0,-1.522293,12.380905,BFA
GSM,613,2,101,6392,0,-1.520677,12.368949,BFA
GSM,613,3,57,34502,0,0.075575,14.369104,BFA
GSM,613,3,57,34503,0,0.088937,14.374748,BFA
GSM,613,3,57,34501,0,0.091282,14.376047,BFA
GSM,613,1,3,2250,0,-1.466331,12.380991,BFA
GSM,613,1,3,2092,0,-1.4632415771484,12.380905151367,BFA
GSM,613,1,3,3391,0,-1.4687347412109,12.380905151367,BFA
GSM,613,1,3,1761,0,-1.463438,12.382278,BFA
GSM,613,1,3,2251,0,-1.4632415771484,12.380905151367,BFA
GSM,613,1,3,1102,0,-1.4632415771484,12.380905151367,BFA
GSM,613,1,3,10392,0,-1.4632415771484,12.380905151367,BFA
GSM,613,2,101,111,0,-1.528885,12.349182,BFA
GSM,613,2,101,103,0,-1.533093,12.35562,BFA
GSM,613,2,107,262,0,-1.539378,12.354256,BFA
GSM,613,3,20,14102,0,-3.48206,11.506962,BFA
GSM,613,3,33,25202,0,-3.641084,11.323899,BFA
GSM,613,3,141,21613,0,-3.804994,11.208625,BFA
GSM,613,2,700,2681,0,-4.3155670166016,11.210861206055,BFA
UMTS,613,2,3002,9976713,0,-4.305073,11.192898,BFA
UMTS,613,2,3001,9908668,0,-1.554519,12.380622,BFA
GSM,613,2,107,2633,0,-1.564316,12.406448,BFA
GSM,613,2,107,541,0,-1.567978,12.408737,BFA
GSM,613,2,107,4433,0,-1.57469,12.409322,BFA
GSM,613,2,107,4382,0,-1.542204,12.398759,BFA
GSM,613,3,218,20991,0,-4.080054,11.178731,BFA
GSM,613,3,2,21103,0,-4.248763,11.168821,BFA
GSM,613,3,2,24902,0,-4.254652,11.174959,BFA
GSM,613,3,2,28502,0,-4.25703,11.173611,BFA
