space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,37.42832883178189,-0.132,0.392,14896,24,0.0016
2022_10_23_-4.6833_9.95,36.54223938672726,-0.645,0.369,6577,11,0.0016
2022_10_23_-4.6833_9.95,28.052726222845493,-0.645,0.369,5049,8,0.0016
2022_10_23_-4.6833_9.95,22.848598537219512,-0.645,0.369,4112,7,0.0016
2022_10_23_-4.6833_9.95,22.34918600017455,-0.858,0.29,4022,6,0.0016
2022_10_23_-4.6833_9.95,21.665212742598516,-0.858,0.29,3899,6,0.0016
2022_10_23_-4.6833_9.95,21.35496227830407,-0.858,0.29,3843,6,0.0016
2022_10_23_-4.6833_9.95,21.40613378126694,-0.858,0.29,3853,6,0.0016
2022_10_23_-4.6833_9.95,22.064485456485155,-0.599,0.314,6200,10,0.0016
2022_10_23_-4.6833_9.95,22.0809309992654,-0.599,0.314,6204,10,0.0016
2022_10_23_-4.6833_9.95,14.292173702635717,-0.599,0.314,4016,6,0.0016
2022_10_23_-4.6833_9.95,9.1967079714455,-0.805,0.291,1655,3,0.0016
2022_10_23_-4.6833_9.95,18.761626635198844,-0.805,0.291,3377,5,0.0016
2022_10_23_-4.6833_9.95,19.533484158540432,-0.805,0.291,3516,6,0.0016
2022_10_23_-4.6833_9.95,19.59829473956272,-0.805,0.291,3527,6,0.0016
2022_10_23_-4.6833_9.95,19.93487146867003,-0.805,0.291,3588,6,0.0016
2022_10_23_-4.6833_9.95,21.000836375627557,-0.132,0.392,8358,13,0.0016
2022_10_23_-4.6833_9.95,21.409058044012426,-0.132,0.392,8520,14,0.0016
2022_10_23_-4.6833_9.95,20.985489483348235,-0.132,0.392,8352,13,0.0016
2022_10_23_-4.6833_9.95,20.733318161989143,-0.132,0.392,8251,13,0.0016
2022_10_23_-4.6833_9.95,27.07599925718523,-0.132,0.392,10776,17,0.0016
2022_10_23_-4.6833_9.95,37.47304131858351,-0.132,0.392,14914,24,0.0016
2022_10_23_-4.6833_9.95,40.74205769452113,-0.132,0.392,16215,26,0.0016
2022_10_23_-4.6833_9.95,39.83261975650576,-0.645,0.369,7169,11,0.0016
2022_10_23_-4.6833_9.95,35.82062314567784,-0.645,0.369,6447,10,0.0016
2022_10_23_-4.6833_9.95,22.906672419510485,-0.645,0.369,4123,7,0.0016
2022_10_23_-4.6833_9.95,21.43212254494532,-0.351,0.288,6022,10,0.0016
2022_10_23_-4.6833_9.95,21.75155088427843,-0.351,0.288,6112,10,0.0016
2022_10_23_-4.6833_9.95,21.867954954048987,-0.351,0.288,6144,10,0.0016
2022_10_23_-4.6833_9.95,22.40945410781544,-0.351,0.288,6297,10,0.0016
2022_10_23_-4.6833_9.95,23.590201570137413,-0.506,0.289,6628,11,0.0016
2022_10_23_-4.6833_9.95,22.74884890564573,-0.506,0.289,6392,10,0.0016
2022_10_23_-4.6833_9.95,19.14957409297754,-0.506,0.289,5381,9,0.0016
2022_10_23_-4.6833_9.95,10.542912756943762,-0.805,0.291,1897,3,0.0016
2022_10_23_-4.6833_9.95,17.554756640328783,-0.805,0.291,3159,5,0.0016
2022_10_23_-4.6833_9.95,18.49294291920936,-0.805,0.291,3328,5,0.0016
2022_10_23_-4.6833_9.95,18.73693044466568,-0.805,0.291,3372,5,0.0016
2022_10_23_-4.6833_9.95,19.159013365543338,-0.805,0.291,3448,6,0.0016
2022_10_23_-4.6833_9.95,19.144286791117327,-0.132,0.392,7619,12,0.0016
2022_10_23_-4.6833_9.95,19.80432129169699,-0.132,0.392,7882,13,0.0016
2022_10_23_-4.6833_9.95,19.45693444931676,-0.132,0.392,7743,12,0.0016
2022_10_23_-4.6833_9.95,21.012653638397254,-0.132,0.392,8363,13,0.0016
2022_10_23_-4.6833_9.95,30.09366236042184,-0.132,0.392,11977,19,0.0016
2022_10_23_-4.6833_9.95,38.27291878533009,-0.132,0.392,15232,24,0.0016
2022_10_23_-4.6833_9.95,42.14032353955559,-0.132,0.392,16771,27,0.0016
2022_10_23_-4.6833_9.95,41.00277273890004,-0.645,0.369,7380,12,0.0016
2022_10_23_-4.6833_9.95,37.643114007521945,-0.645,0.369,6775,11,0.0016
2022_10_23_-4.6833_9.95,24.02578209175471,-0.645,0.369,4324,7,0.0016
2022_10_23_-4.6833_9.95,22.70775784636261,-0.137,0.285,9037,14,0.0016
2022_10_23_-4.6833_9.95,22.058407069746988,-0.351,0.288,6198,10,0.0016
2022_10_23_-4.6833_9.95,21.53736596816127,-0.351,0.288,6051,10,0.0016
2022_10_23_-4.6833_9.95,21.43730458589081,-0.351,0.288,6023,10,0.0016
